dataset,accuracy_mean_percent,sample_std_percent,seeds
AD65,63.82626666666666,6.100196824966655,5;42;43
BCIC2A,56.5972,2.711891537285367,5;42;43
FACED_new,53.04233333333334,2.8689767240835797,5;42;43
Physionet_MI,60.426766666666666,7.996951942667493,5;42;43
SEED,52.8701,2.2223549941447236,5;42;43
SEED_V,29.0383,4.340204095431458,5;42;43
SHU,60.20100000000001,7.1589265983106785,5;42;43
SleepEDF_full,85.60526666666667,2.1871000579153566,5;42;43
